System Epoch,Device,Category,E4 Epoch,Value
1669786366177,E4,Gsr,1669786365.715,1.755318
1669786366177,E4,Gsr,1669786365.965,1.752756
1669786366177,E4,Gsr,1669786366.215,1.751476
1669786367661,E4,Gsr,1669786366.715,1.751476
1669786367661,E4,Gsr,1669786366.465,1.754037
1669786367662,E4,Gsr,1669786366.965,1.748914
1669786367662,E4,Gsr,1669786367.215,1.743791
1669786367662,E4,Gsr,1669786367.465,1.74251
1669786367662,E4,Gsr,1669786367.715,1.736106
1669786369170,E4,Gsr,1669786367.965,1.733545
1669786369170,E4,Gsr,1669786368.215,1.729702
1669786369170,E4,Gsr,1669786368.465,1.723298
1669786369170,E4,Gsr,1669786368.715,1.716894
1669786369170,E4,Gsr,1669786368.965,1.716894
1669786369170,E4,Gsr,1669786369.215,1.713052
1669786370676,E4,Gsr,1669786369.465,1.70921
1669786370676,E4,Gsr,1669786369.715,1.701525
1669786370677,E4,Gsr,1669786369.965,1.701525
1669786370677,E4,Gsr,1669786370.215,1.701525
1669786370677,E4,Gsr,1669786370.465,1.702806
1669786370677,E4,Gsr,1669786370.715,1.704086
1669786372161,E4,Gsr,1669786371.215,1.702806
1669786372161,E4,Gsr,1669786370.965,1.702806
1669786372162,E4,Gsr,1669786371.465,1.700244
1669786372162,E4,Gsr,1669786371.715,1.695121
1669786372162,E4,Gsr,1669786371.965,1.687436
1669786372162,E4,Gsr,1669786372.215,1.688717
1669786373669,E4,Gsr,1669786372.465,1.69384
1669786373669,E4,Gsr,1669786372.715,1.69384
1669786373670,E4,Gsr,1669786372.965,1.697682
1669786373670,E4,Gsr,1669786373.215,1.695121
1669786373670,E4,Gsr,1669786373.465,1.69384
1669786373670,E4,Gsr,1669786373.715,1.688717
1669786375177,E4,Gsr,1669786373.965,1.686155
1669786375177,E4,Gsr,1669786374.215,1.678471
1669786375177,E4,Gsr,1669786374.465,1.674628
1669786375177,E4,Gsr,1669786374.715,1.672067
1669786375177,E4,Gsr,1669786374.965,1.666943
1669786375177,E4,Gsr,1669786375.215,1.663101
1669786376684,E4,Gsr,1669786375.465,1.66054
1669786376684,E4,Gsr,1669786375.715,1.655416
1669786376684,E4,Gsr,1669786375.965,1.650293
1669786376684,E4,Gsr,1669786376.215,1.64517
1669786376684,E4,Gsr,1669786376.465,1.641328
1669786376684,E4,Gsr,1669786376.715,1.640047
1669786378169,E4,Gsr,1669786376.965,1.638766
1669786378169,E4,Gsr,1669786377.215,1.636204
1669786378169,E4,Gsr,1669786377.465,1.632362
1669786378169,E4,Gsr,1669786377.715,1.629801
1669786378169,E4,Gsr,1669786377.965,1.629801
1669786378169,E4,Gsr,1669786378.215,1.631081
1669786379654,E4,Gsr,1669786378.465,1.625958
1669786379654,E4,Gsr,1669786378.715,1.619554
1669786379655,E4,Gsr,1669786378.965,1.618273
1669786379655,E4,Gsr,1669786379.215,1.615712
1669786379655,E4,Gsr,1669786379.465,1.61315
1669786379655,E4,Gsr,1669786379.715,1.61315
1669786381162,E4,Gsr,1669786379.965,1.614431
1669786381162,E4,Gsr,1669786380.215,1.616993
1669786381163,E4,Gsr,1669786380.465,1.615712
1669786381163,E4,Gsr,1669786380.715,1.614431
1669786381163,E4,Gsr,1669786380.965,1.615712
1669786381163,E4,Gsr,1669786381.215,1.61315
1669786382691,E4,Gsr,1669786381.465,1.605466
1669786382691,E4,Gsr,1669786381.715,1.599061
1669786382692,E4,Gsr,1669786381.965,1.595219
1669786382692,E4,Gsr,1669786382.215,1.591377
1669786382692,E4,Gsr,1669786382.465,1.586254
1669786382692,E4,Gsr,1669786382.715,1.584973
1669786384154,E4,Gsr,1669786382.965,1.57985
1669786384154,E4,Gsr,1669786383.215,1.574726
1669786384154,E4,Gsr,1669786383.465,1.576007
1669786384154,E4,Gsr,1669786383.715,1.570884
1669786384154,E4,Gsr,1669786383.965,1.568323
1669786384154,E4,Gsr,1669786384.215,1.570884
1669786385662,E4,Gsr,1669786384.465,1.567042
1669786385662,E4,Gsr,1669786384.715,1.563199
1669786385663,E4,Gsr,1669786384.965,1.561919
1669786385663,E4,Gsr,1669786385.215,1.554234
1669786385663,E4,Gsr,1669786385.465,1.558076
1669786385663,E4,Gsr,1669786385.715,1.558076
1669786387191,E4,Gsr,1669786385.965,1.558076
1669786387191,E4,Gsr,1669786386.215,1.551672
1669786387191,E4,Gsr,1669786386.465,1.551672
1669786387191,E4,Gsr,1669786386.715,1.54783
1669786387191,E4,Gsr,1669786386.965,1.542707
